KOI	RPLANET	PER	UPER	A	TPLANET	MSTAR	TSTAR	RSTAR	RR
944.01	4.29	3.1082511	0.0000059	0.039	1046	0.97	5166	0.82	0.04787
1019.01	2.06	2.4970517	0.0000633	0.039	1879	1.06	5085	2.74	0.00689
1127.03	1.38	2.8367833	0.0001321	0.039	1178	0.98	5602	0.89	0.01422
1357.01	2.73	3.0143496	0.000027	0.039	1087	0.86	5015	0.94	0.02661
1491.01	2.05	3.1486789	0.000036	0.039	1029	0.8	5059	0.83	0.02263
1563.03	1.85	3.205322	0.0000764	0.039	949	0.75	4918	0.75	0.02273
2200.01	1.56	3.1705984	0.0000376	0.039	1158	0.79	5534	0.88	0.01631
2331.01	1.33	2.8326167	0.0000336	0.039	1313	0.98	5803	1.03	0.01191
2516.01	1.22	2.8103242	0.0000615	0.039	1519	0.96	5290	1.65	0.00678
2583.01	0.72	3.0328016	0.0000528	0.039	1150	0.85	5525	0.87	0.00757
204.01	7.29	3.246732	0.0000016	0.04	1102	0.99	5287	0.89	0.0749
221.01	4.15	3.4130377	0.0000022	0.04	939	0.92	5176	0.68	0.0563
552.01	9.75	3.05517	0.0000021	0.04	1294	1.1	6018	0.95	0.09404
869.04	1.75	3.2197925	0.0000274	0.04	1016	0.8	5085	0.82	0.01959
1177.01	11.01	3.3055735	0.0000016	0.04	960	0.95	5360	0.66	0.15292
1432.03	1.33	2.9271181	0.000056	0.04	1165	0.97	5675	0.87	0.01402
1557.01	3.6	3.2957058	0.0000051	0.04	972	0.8	4783	0.85	0.0389
1649.01	1.07	4.0435387	0.0000466	0.04	607	0.54	3819	0.52	0.01884
2026.01	1.78	2.7580062	0.0000138	0.04	1488	1.09	6176	1.19	0.01365
2473.01	1.45	3.2439345	0.0000725	0.04	1003	0.78	5174	0.77	0.01726
2608.01	1.37	2.7612098	0.0000416	0.04	1428	1.11	6030	1.15	0.0109
195.01	11.21	3.2175204	7.00E-07	0.041	1150	1.05	5604	0.89	0.11573
697.01	3.97	3.0321542	0.0000113	0.041	1588	1.18	5779	1.59	0.02288
875.01	2.3	4.220959	0.0000085	0.041	624	0.54	4198	0.47	0.04536
884.03	1.59	3.3362048	0.0000196	0.041	925	0.81	4931	0.74	0.01962
1338.01	1.41	3.2229661	0.0000397	0.041	1166	0.87	5597	0.91	0.01415
1369.01	1.5	3.0161483	0.0000304	0.041	1257	1.07	5778	1	0.01382
1603.01	1.49	3.0215425	0.0000329	0.041	1253	1.06	5995	0.92	0.01488
1815.01	5.28	3.1268651	0.0000067	0.041	1423	0.96	4680	1.95	0.02485
1843.01	1.35	4.1945252	0.0000157	0.041	578	0.54	3673	0.52	0.02368
1860.03	1.52	3.0765077	0.0000456	0.041	1282	0.95	5708	1.06	0.01311
2169.02	0.78	3.2666056	0.0000377	0.041	1139	0.87	5299	0.97	0.00738
2220.01	1.2	3.2828182	0.0000496	0.041	1174	0.84	5738	0.88	0.01245
2561.01	0.87	3.2394254	0.0000562	0.041	1128	0.88	5824	0.79	0.0101
2580.01	1.59	3.1160819	0.0000413	0.041	1086	0.96	5401	0.85	0.01711
214.01	7.13	3.3118628	0.0000016	0.042	1102	1.01	5322	0.93	0.07061
251.01	2.65	4.1643875	0.0000064	0.042	602	0.55	3846	0.53	0.04606
338.02	17.51	3.1075281	0.0000634	0.042	3866	1	4104	19.16	0.00838
568.01	1.34	3.3835275	0.0000194	0.042	1006	0.9	5265	0.79	0.01564
